City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mercedes,-34.6515,-59.4307,22.1,86,100,3.72,AR,1689976352
84,ghormach,35.7306,63.7826,25.63,21,0,2.37,AF,1689976372
85,dunedin,-45.8742,170.5036,7.67,72,15,2.24,NZ,1689976320
86,auki,-8.7676,160.7034,27.76,71,94,1.22,SB,1689976739
87,jizan,17.3333,42.6667,34.52,42,100,3.57,SA,1689976373
88,georgetown,5.4112,100.3354,23.97,85,20,2.68,MY,1689976670
89,kudahuvadhoo,2.6708,72.8944,27.72,72,100,3.08,MV,1689976373
90,zyryanskoye,56.8306,86.6258,15.29,94,51,2.65,RU,1689976373
91,mao,39.8885,4.2658,25.31,73,20,5.14,ES,1689976740
92,kununurra,-15.7667,128.7333,21.99,43,3,5.66,AU,1689976374
93,sao jose da coroa grande,-8.8978,-35.1478,23.72,73,3,5.31,BR,1689976374
94,pisco,-13.7,-76.2167,21.03,73,0,4.63,PE,1689976712
95,qaqortoq,60.7167,-46.0333,7.64,89,30,1.21,GL,1689976690
96,ghanzi,-21.5667,21.7833,12.49,75,0,5.87,BW,1689976375
97,general cabrera,-32.8131,-63.8724,18.81,61,100,3.43,AR,1689976375
98,padang,-0.9492,100.3543,23.03,85,59,1.44,ID,1689976266
99,kuala belait,4.5833,114.1833,24.09,91,100,2.47,BN,1689976144
100,melekhovo,56.2773,41.2935,11.27,87,10,2.76,RU,1689976375
101,kingston,17.997,-76.7936,34.58,62,20,11.32,JM,1689976620
102,turaif,31.6725,38.6637,30.14,12,0,5.14,SA,1689976376
103,tadmur,34.5608,38.2805,28.05,32,0,5.41,SY,1689976376
104,dudinka,69.4058,86.1778,18.68,71,100,3.61,RU,1689976742
105,nemuro,43.3236,145.575,15.8,92,23,4.78,JP,1689976742
106,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,77,0,3.0,RU,1689976742
107,tamiahua,21.2667,-97.45,31.8,60,52,5.91,MX,1689976743
108,tiksi,71.6872,128.8694,9.43,59,30,4.06,RU,1689976653
109,udachny,66.4167,112.4,16.92,72,94,6.92,RU,1689976267
110,griffith,41.5284,-87.4237,27.85,58,0,5.14,US,1689976377
111,vila franca do campo,37.7167,-25.4333,21.23,89,96,0.76,PT,1689976697
112,enewetak,11.3474,162.3373,28.62,78,90,7.06,MH,1689976655
113,arkhangel'sk,64.5401,40.5433,14.55,98,67,1.81,RU,1689976378
114,xining,36.6167,101.7667,11.23,58,0,1.51,CN,1689976378
115,hawaiian paradise park,19.5933,-154.9731,27.72,75,100,3.09,US,1689976644
116,vorgashor,67.5833,63.95,15.75,90,52,2.91,RU,1689976704
117,vilyuchinsk,52.9306,158.4028,18.15,84,75,4.44,RU,1689976745
118,leava,-14.3,-178.1667,27.27,81,40,5.16,WF,1689976379
119,sitangkai,4.6628,119.3928,27.72,78,100,4.88,PH,1689976379
120,barah,13.7,30.3667,28.15,57,85,7.42,SD,1689976379
121,ola,59.5833,151.2833,16.19,89,99,3.27,RU,1689976745
122,yongchuan,29.3514,105.8947,23.8,96,24,0.62,CN,1689976380
123,chipinge,-20.1883,32.6236,11.81,95,77,2.19,ZW,1689976380
124,bengkulu,-3.8004,102.2655,24.13,93,43,2.43,ID,1689976380
125,saipan,15.1355,145.701,28.69,100,20,4.63,MP,1689976746
126,lumphat,13.4878,106.9816,23.54,98,100,0.84,KH,1689976380
127,banda aceh,5.5577,95.3222,26.79,75,89,6.06,ID,1689976380
128,chuguyevka,44.1653,133.8633,22.96,79,31,1.01,RU,1689976381
129,berd,40.8815,45.3899,19.97,74,8,2.54,AM,1689976381
130,ciudad lazaro cardenas,17.9583,-102.2,30.77,69,22,4.13,MX,1689976062
131,thompson,55.7435,-97.8558,20.09,77,75,3.6,CA,1689976635
132,lamu,-2.2717,40.902,26.12,86,5,7.92,KE,1689976382
133,hasaki,35.7333,140.8333,27.39,77,4,4.18,JP,1689976726
134,misratah,32.3754,15.0925,29.02,65,0,4.66,LY,1689976382
135,aoulef,26.9667,1.0833,37.61,9,0,7.54,DZ,1689976382
136,port lincoln,-34.7333,135.8667,12.45,73,47,6.21,AU,1689976668
137,przasnysz,53.0191,20.8803,16.32,53,70,3.53,PL,1689976383
138,esquel,-42.9,-71.3167,3.21,89,37,3.96,AR,1689976383
139,chinde,26.8418,88.0763,19.48,88,88,2.02,NP,1689976383
140,el porvenir,13.7617,-87.3458,30.63,42,47,3.1,HN,1689976384
141,tabou,4.423,-7.3528,24.74,87,62,5.02,CI,1689976340
142,praia,14.9215,-23.5087,27.3,74,20,5.66,CV,1689976384
143,rabo de peixe,37.8,-25.5833,20.73,88,75,2.06,PT,1689976384
144,eynesil,41.0645,39.1438,22.24,74,0,1.82,TR,1689976384
145,carnarvon,-24.8667,113.6333,13.8,36,0,9.68,AU,1689976264
146,kerikeri,-35.2268,173.9474,11.62,87,35,1.72,NZ,1689976709
147,oxford,51.7522,-1.256,15.27,80,0,3.09,GB,1689976321
148,severo-yeniseyskiy,60.3725,93.0408,14.16,68,47,2.03,RU,1689976751
149,roma,43.2128,-75.4557,25.08,64,40,5.66,US,1689976751
150,chibougamau,49.9168,-74.3659,16.79,88,100,2.29,CA,1689976041
151,hastings,50.8552,0.5729,17.1,40,86,4.82,GB,1689976320
152,esquina,-30.0144,-59.5272,27.18,45,100,6.58,AR,1689976387
153,st. john's,47.5649,-52.7093,26.66,65,75,5.66,CA,1689976536
154,winneba,5.3511,-0.6231,24.68,88,62,5.68,GH,1689976387
155,olonets,60.9847,32.9698,14.42,84,100,5.34,RU,1689976387
156,ewo,-0.8725,14.8206,28.43,46,98,1.41,CG,1689976388
157,isangel,-19.55,169.2667,20.06,77,75,0.0,VU,1689976329
158,orchard homes,46.8633,-114.0484,37.38,20,0,3.09,US,1689976388
159,pacific grove,36.6177,-121.9166,30.91,83,40,4.47,US,1689976322
160,sopur,34.3,74.4667,19.3,90,57,0.61,IN,1689976389
161,walvis bay,-22.9575,14.5053,11.53,93,0,3.6,NA,1689976389
162,flying fish cove,-10.4217,105.6791,23.82,83,100,6.17,CX,1689976754
163,luderitz,-26.6481,15.1594,13.93,54,59,2.66,NA,1689976735
164,ribeira brava,32.65,-17.0667,23.4,76,5,2.56,PT,1689976284
165,princeville,45.7668,-61.2985,24.82,88,20,5.66,CA,1689976391
166,poronaysk,49.2167,143.1167,18.15,87,83,0.98,RU,1689976391
167,gasa,31.5,34.4667,25.36,70,0,0.01,PS,1689976755
168,yuzhno-kurilsk,44.0306,145.8556,16.56,87,29,4.5,RU,1689976755
169,borogontsy,62.6683,131.1683,13.39,77,2,2.9,RU,1689976391
170,kegen,43.0197,79.2203,12.29,83,11,2.2,KZ,1689976392
171,port isabel,26.0734,-97.2086,36.02,64,0,9.77,US,1689976392
172,san patricio,28.017,-97.5169,37.88,40,0,6.52,US,1689976711
173,cacoal,-11.4386,-61.4472,28.09,30,0,1.45,BR,1689976392
174,stornoway,58.2093,-6.3865,12.83,86,100,0.51,GB,1689976144
175,crane,31.3974,-102.3501,38.0,14,22,7.2,US,1689976679
176,punta arenas,-53.15,-70.9167,-2.16,92,100,2.47,CL,1689976632
177,ixtapa,20.7,-105.2,31.24,79,27,2.24,MX,1689976393
178,nur-sultan,51.1801,71.446,14.97,77,0,4.0,KZ,1689976248
179,port-vila,-17.7338,168.3219,21.78,83,75,0.0,VU,1689976757
180,ad dawadimi,24.5077,44.3924,29.64,8,100,2.84,SA,1689976394
181,tobelo,1.7284,128.0095,25.83,84,4,3.15,ID,1689976227
182,mitchell,43.7094,-98.0298,26.99,50,75,3.09,US,1689976395
183,vorkuta,67.5,64.0,16.09,90,47,2.67,RU,1689976759
184,saint-affrique,43.9558,2.8892,18.22,72,100,1.69,FR,1689976395
185,sao joao da barra,-21.6403,-41.0511,21.05,63,98,4.44,BR,1689976536
186,toyooka,35.5333,134.8333,25.17,81,0,1.77,JP,1689976395
187,hotan,37.0997,79.9269,30.13,16,100,7.8,CN,1689976759
188,antofagasta,-23.65,-70.4,18.6,83,40,4.32,CL,1689976697
189,tra mhor,52.1624,-7.1524,14.49,80,100,4.47,IE,1689976396
190,kone,-21.0595,164.8658,19.22,64,74,1.4,NC,1689976723
191,nova sintra,14.8667,-24.7167,23.02,83,19,6.95,CV,1689976708
192,touros,-5.1989,-35.4608,24.6,73,0,7.47,BR,1689976681
193,nuuk,64.1835,-51.7216,6.42,94,92,2.91,GL,1689976650
194,sao vicente,-23.9631,-46.3919,21.1,62,100,0.51,BR,1689976761
195,tadine,-21.55,167.8833,20.05,62,99,3.06,NC,1689976761
196,magadan,59.5667,150.8,15.85,88,91,3.2,RU,1689976761
197,rongelap,11.1635,166.8941,28.43,77,100,7.28,MH,1689976397
198,mitsamiouli,-11.3847,43.2844,26.16,78,75,7.72,KM,1689976398
199,longyearbyen,78.2186,15.6401,6.91,81,100,4.63,SJ,1689976762
200,santanyi,39.3546,3.1291,27.01,79,56,6.25,ES,1689976398
201,tazovsky,67.4667,78.7,16.6,70,99,2.32,RU,1689976651
202,huanggang,23.677,116.9996,26.94,91,100,0.69,CN,1689976399
203,esfarayen,37.0765,57.5101,21.81,24,0,1.65,IR,1689976296
204,yarmouth,41.7057,-70.2286,25.64,89,100,3.09,US,1689976763
205,arrah,25.5667,84.6667,30.94,69,50,5.57,IN,1689976400
206,paoua,7.2427,16.4406,21.12,94,97,2.16,CF,1689976400
207,tura,25.5198,90.2201,23.74,98,100,2.13,IN,1689976764
208,constantia,44.1833,28.65,20.39,81,0,4.48,RO,1689976554
209,mosjoen,65.836,13.1908,13.29,88,40,1.03,NO,1689976400
210,itamaraca,-7.7478,-34.8256,26.03,77,7,5.79,BR,1689976401
211,alofi,-19.0595,-169.9187,23.94,100,11,5.14,NU,1689976291
212,kruisfontein,-34.0033,24.7314,11.73,80,4,4.01,ZA,1689976337
213,baiyin,36.5583,104.2081,19.15,38,13,1.21,CN,1689976401
214,myitkyina,25.3833,97.4,25.06,100,100,0.59,MM,1689976284
215,lompoc,34.6391,-120.4579,35.99,72,75,3.6,US,1689976765
216,dalandzadgad,43.5708,104.425,22.51,41,100,9.57,MN,1689976402
217,kalianget,-7.05,113.9333,25.22,71,51,5.63,ID,1689976402
